time,r TA_C1.Vt,r TC_C1.Vt
0.0136637,-11.4974,9.25405e-10
0.0137137,-11.3936,8.67092e-10
0.0137638,-11.2857,1.00362e-09
0.0138138,-11.1738,9.45695e-10
0.0138639,-11.0579,1.08264e-09
0.0139139,-10.9381,1.02516e-09
0.013964,-10.8144,1.16258e-09
0.014014,-10.6869,1.1056e-09
0.0140641,-10.5555,1.24356e-09
0.0141141,-10.4204,1.18716e-09
0.0141642,-10.2816,1.32574e-09
0.0142142,-10.1391,1.27001e-09
0.0142643,-9.99297,1.40929e-09
0.0143143,-9.84331,1.35431e-09
0.0143644,-9.69015,1.4944e-09
0.0144144,-9.53354,1.44028e-09
0.0144645,-9.37353,1.5813e-09
0.0145145,-9.21019,1.52817e-09
0.0145646,-9.04357,1.67025e-09
0.0146146,-8.87373,1.61826e-09
0.0146647,-8.70073,1.76156e-09
0.0147147,-8.52464,1.71088e-09
0.0147648,-8.34551,1.85559e-09
0.0148148,-8.1634,1.80644e-09
0.0148649,-7.97839,1.95279e-09
0.0149149,-7.79054,1.9054e-09
0.014965,-7.59992,2.05365e-09
0.015015,-7.40659,2.00833e-09
0.0150651,-7.21063,2.15882e-09
0.0151151,-7.0121,2.11591e-09
0.0151652,-6.81107,2.26903e-09
0.0152152,-6.60762,"2,229E-06"
0.0152653,-6.40181,2.38524e-09
0.0153153,-6.19373,2.34861e-09
0.0153654,-5.98344,2.50859e-09
0.0154154,-5.77102,2.47607e-09
0.0154655,-5.55654,2.64057e-09
0.0155155,-5.34009,2.61303e-09
0.0155656,-5.12174,2.78304e-09
0.0156156,-4.90156,2.76162e-09
0.0156657,-4.67964,2.93846e-09
0.0157157,-4.45605,2.92468e-09
0.0157658,-4.23088,3.11009e-09
0.0158158,-4.00419,"3,106E-06"
0.0158659,-3.77609,3.30241e-09
0.0159159,-3.54664,3.31087e-09
0.015966,-3.31593,3.5217e-09
0.016016,-3.08403,3.54684e-09
0.0160661,-2.85104,3.77713e-09
0.0161161,-2.61703,3.82517e-09
0.0161662,-2.3821,4.08269e-09
0.0162162,-2.14631,4.16352e-09
0.0162663,-1.90976,4.46107e-09
0.0163163,-1.67253,4.59157e-09
0.0163664,-1.4347,4.95197e-09
0.0164164,-1.19637,5.16394e-09
0.0164665,-0.957606,5.63309e-09
0.0165165,-0.718503,6.09449e-09
0.0165666,-0.479144,6.58468e-09
0.0166166,-0.239615,7.48984e-09
0.0166667,-1.43905e-14,8.57469e-09
0.0167167,0.239615,1.2461e-08
0.0167668,0.479144,2.01607e-05
0.0168168,0.718503,0.0418808
0.0168669,0.957606,0.236257
0.0169169,1.19637,0.457912
0.016967,1.4347,0.685806
0.017017,1.67253,0.916145
0.0170671,1.90976,1.14755
0.0171171,2.14631,1.37935
0.0171672,2.3821,1.61112
0.0172172,2.61703,1.84259
0.0172673,2.85104,2.07354
0.0173173,3.08403,2.30381
0.0173674,3.31593,2.53325
0.0174174,3.54664,2.76173
0.0174675,3.77609,2.98913
0.0175175,4.00419,3.21535
0.0175676,4.23088,3.44028
0.0176176,4.45605,3.66383
0.0176677,4.67964,3.8859
0.0177177,4.90156,4.10639
0.0177678,5.12174,4.32523
0.0178178,5.34009,4.54232
0.0178679,5.55654,4.75757
0.0179179,5.77102,4.97091
0.017968,5.98344,5.18225
0.018018,6.19373,5.39152
0.0180681,6.40181,5.59863
0.0181181,6.60762,5.80351
0.0181682,6.81107,6.00607
0.0182182,7.0121,6.20625
0.0182683,7.21063,6.40398
0.0183183,7.40659,6.59916
0.0183684,7.59992,6.79175
0.0184184,7.79054,6.98166
0.0184685,7.97839,7.16882
0.0185185,8.1634,7.35318
0.0185686,8.34551,7.53465
0.0186186,8.52464,7.71317
0.0186687,8.70073,7.88869
0.0187187,8.87373,8.06113
0.0187688,9.04357,8.23043
0.0188188,9.21019,8.39653
0.0188689,9.37353,8.55938
0.0189189,9.53354,8.71891
0.018969,9.69015,8.87506
0.019019,9.84331,9.02778
0.0190691,9.99297,9.17701
0.0191191,10.1391,9.3227
0.0191692,10.2816,9.4648
0.0192192,10.4204,9.60325
0.0192693,10.5555,9.73801
0.0193193,10.6869,9.86903
0.0193694,10.8144,9.99625
0.0194194,10.9381,10.1196
0.0194695,11.0579,10.2392
0.0195195,11.1738,10.3547
0.0195696,11.2857,10.4664
0.0196196,11.3936,10574
0.0196697,11.4974,10.6775
0.0197197,11.5971,10777
0.0197698,11.6928,10.8724
0.0198198,11.7842,10.9636
0.0198699,11.8714,11.0507
0.0199199,11.9545,11.1335
0.01997,12.0332,11.2121
0.02002,12.1077,11.2864
0.0200701,12.1779,11.3564
0.0201201,12.2437,11.4221
0.0201702,12.3052,11.4834
0.0202202,12.3623,11.5404
0.0202703,12415,11593
0.0203203,12.4632,11.6411
0.0203704,12.5071,11.6849
0.0204204,12.5464,11.7242
0.0204705,12.5814,11759
0.0205205,12.6118,11.7894
0.0205706,12.6377,11.8153
