time,r TA_C2.Vt,r TC_C2.Vt
0.0158264,-3.95618,10.0185
0.0158765,-3.72763,9.99063
0.0159265,-3.49775,9.96287
0.0159766,-3.26662,9.93519
0.0160267,-3.03433,9.90758
0.0160768,-2.80096,9.88006
0.0161269,-2.56659,9.8526
0.016177,-2.33131,9.82523
0.016227,-2.09519,9.79793
0.0162771,-1.85833,9.7707
0.0163272,-1.6208,9.74356
0.0163773,-1.3827,9.71648
0.0164274,-1.14411,9.68949
0.0164775,-0.905102,9.66256
0.0165275,-0.665775,9.63571
0.0165776,-0.426212,9.60894
0.0166277,-0.186496,9.58224
0.0166778,0.0532863,9.55562
0.0167279,0.293049,9.52907
0.016778,0.532708,9.50259
0.016828,0.772177,9.47619
0.0168781,1.01137,9.44986
0.0169282,1.2502,9.4236
0.0169783,1.48859,9.39742
0.0170284,1.72645,9.3713
0.0170785,1.96369,9.34527
0.0171285,2.20023,9.3193
0.0171786,2.43599,9.29341
0.0172287,2.67088,9.26758
0.0172788,2.90481,9.24183
0.0173289,3.13771,9.21615
0.017379,3.36949,9.19055
0.017429,3.60008,9.16501
0.0174791,3.82937,9.13954
0.0175292,4.05731,9.11415
0.0175793,4.28379,9.08883
0.0176294,4.50875,9.06357
0.0176795,4.7321,9.03839
0.0177295,4.95377,9.01327
0.0177796,5.17367,8.98823
0.0178297,5.39172,8.96326
0.0178798,5.60785,8.93835
0.0179299,5.82199,8.91352
0.01798,6.03405,8.88875
0.0180301,6.24395,8.86405
0.0180801,6.45163,8.83942
0.0181302,6.65702,8.81486
0.0181803,6.86002,8.79037
0.0182304,7.06059,8.76595
0.0182805,7.25863,8.74159
0.0183306,7.45409,8.7173
0.0183806,7.64689,8.69308
0.0184307,7.83697,8.66892
0.0184808,8.02425,8.64484
0.0185309,8.20867,8.62082
0.018581,8.39016,8.59686
0.0186311,8.56867,8.57298
0.0186811,8.74412,8.54916
0.0187312,8.91645,8.5254
0.0187813,9.0856,8.50171
0.0188314,9.25152,8.47876
0.0188815,9.41413,8.54766
0.0189316,9.57339,8.70663
0.0189816,9.72924,8.86291
0.0190317,9.88162,9.01573
0.0190818,10.0305,9.16505
0.0191319,10.1758,9.31081
0.019182,10.3174,9.45296
0.0192321,10.4554,9.59146
0.0192821,10.5896,9.72624
